Census_Code_2021,Census_Name_2021,url_name,url_fullname
LGA36910,Toowoomba,,
LGA36950,Torres,,
LGA36960,Torres Strait Island,,
LGA37010,Townsville,,
LGA37300,Weipa,,
LGA37310,Western Downs,,
LGA37340,Whitsunday,,
LGA37400,Winton,,
LGA37550,Woorabinda,,
LGA37570,Wujal Wujal,,
LGA37600,Yarrabah,,
LGA39499,No usual address (Qld),,
LGA39799,Migratory - Offshore - Shipping (Qld),,
LGA40070,Adelaide,,
LGA40120,Adelaide Hills,,
LGA40150,Adelaide Plains,,
LGA40220,Alexandrina,,
LGA40250,Anangu Pitjantjatjara Yunkunytjatjara,,
LGA40310,Barossa,,
LGA40430,Barunga West,,
LGA40520,Berri Barmera,,
LGA40700,Burnside,,
LGA40910,Campbelltown (SA),,
LGA41010,Ceduna,,
LGA41060,Charles Sturt,,
LGA41140,Clare and Gilbert Valleys,,
LGA41190,Cleve,,
LGA41330,Coober Pedy,,
LGA41560,Copper Coast,,
LGA41750,Elliston,,
LGA41830,Flinders Ranges,,
LGA41960,Franklin Harbour,,
LGA42030,Gawler,,
LGA42110,Goyder,,
LGA42250,Grant,,
LGA42600,Holdfast Bay,,
LGA42750,Kangaroo Island,,
LGA43080,Karoonda East Murray,,
LGA43220,Kimba,,
LGA43360,Kingston (SA),,
LGA43650,Light,,
LGA43710,Lower Eyre Peninsula,,
LGA43790,Loxton Waikerie,,
LGA44000,Maralinga Tjarutja,,
LGA44060,Marion,,
LGA44210,Mid Murray,,
LGA44340,Mitcham,,
LGA44550,Mount Barker,,
LGA44620,Mount Gambier,,
LGA44830,Mount Remarkable,,
LGA45040,Murray Bridge,,
LGA45090,Naracoorte Lucindale,,
LGA45120,Northern Areas,,
LGA45290,Norwood Payneham and St Peters,,
LGA45340,Onkaparinga,,
LGA45400,Orroroo Carrieton,,
LGA45540,Peterborough,,
LGA45680,Playford,,
LGA45890,Port Adelaide Enfield,,
LGA46090,Port Augusta,,
LGA46300,Port Lincoln,,
LGA46450,Port Pirie,,
LGA46510,Prospect,,
LGA46670,Renmark Paringa,,
LGA46860,Robe,,
LGA46970,Roxby Downs,,
LGA47140,Salisbury,,
LGA47290,Southern Mallee,,
LGA47490,Streaky Bay,,
LGA47630,Tatiara,,
LGA47700,Tea Tree Gully,,
LGA47800,Coorong,,
LGA47910,Tumby Bay,,
LGA47980,Unley,,
LGA48050,Victor Harbor,,
LGA48130,Wakefield,,
LGA48260,Walkerville,,
LGA48340,Wattle Range,,
LGA48410,West Torrens,,
LGA48540,Whyalla,,
LGA48640,Wudinna,,
LGA48750,Yankalilla,,
LGA48830,Yorke Peninsula,,
LGA49399,Unincorporated SA,,
LGA49499,No usual address (SA),,
LGA49799,Migratory - Offshore - Shipping (SA),,
LGA50080,Albany,,
LGA50210,Armadale,,
LGA50250,Ashburton,,
LGA50280,Augusta Margaret River,,
LGA50350,Bassendean,,
LGA50420,Bayswater,,
LGA50490,Belmont,,
LGA50560,Beverley,,
LGA50630,Boddington,,
LGA50770,Boyup Brook,,
LGA50840,Bridgetown-Greenbushes,,
LGA50910,Brookton,,
LGA50980,Broome,,
LGA51080,Broomehill-Tambellup,,
LGA51120,Bruce Rock,,
LGA51190,Bunbury,,
LGA51260,Busselton,,
LGA51310,Cambridge,,
LGA51330,Canning,,
LGA51400,Capel,,
LGA51470,Carnamah,,
LGA51540,Carnarvon,,
LGA51610,Chapman Valley,,
LGA51680,Chittering,,
LGA51710,Christmas Island,,
LGA51750,Claremont,,
LGA51820,Cockburn,,
LGA51860,Cocos Islands,,
LGA51890,Collie,,
LGA51960,Coolgardie,,
LGA52030,Coorow,,
LGA52100,Corrigin,,
LGA52170,Cottesloe,,
LGA52240,Cranbrook,,
LGA52310,Cuballing,,
LGA52380,Cue,,
LGA52450,Cunderdin,,
LGA52520,Dalwallinu,,
LGA52590,Dandaragan,,
LGA52660,Dardanup,,
LGA52730,Denmark,,
LGA52800,Derby-West Kimberley,,
LGA52870,Donnybrook-Balingup,,
LGA52940,Dowerin,,
LGA53010,Dumbleyung,,
LGA53080,Dundas,,
LGA53150,East Fremantle,,
LGA53220,East Pilbara,,
LGA53290,Esperance,,
LGA53360,Exmouth,,
LGA53430,Fremantle,,
LGA53570,Gingin,,
LGA53640,Gnowangerup,,
LGA53710,Goomalling,,
LGA53780,Gosnells,,
LGA53800,Greater Geraldton,,
LGA53920,Halls Creek,,
LGA53990,Harvey,,
LGA54060,Irwin,,
LGA54130,Jerramungup,,
LGA54170,Joondalup,,
