short_descriptor,long_descriptor,file
Flt_apt_4to8_s_b_NofB_4,Flat_or_apartment_In_a_four_to_eight_storey_block_Number_of_bedrooms_Four_bedrooms,G41
Flt_apt_4to8_s_b_NofB_5,Flat_or_apartment_In_a_four_to_eight_storey_block_Number_of_bedrooms_Five_bedrooms,G41
Flt_apt_4to8_s_b_NofB_6_m,Flat_or_apartment_In_a_four_to_eight_storey_block_Number_of_bedrooms_Six_bedrooms_or_more,G41
Flt_apt_4to8_s_b_NofB_NS,Flat_or_apartment_In_a_four_to_eight_storey_block_Number_of_bedrooms_Not_stated,G41
Flt_apt_4to8_s_b_Total,Flat_or_apartment_In_a_four_to_eight_storey_block_Total,G41
Flt_apt_9_or_m_s_b_NofB_0_ib,Flat_or_apartment_In_a_nine_or_more_storey_block_Number_of_bedrooms_None_includes_studio_apartments_or_bedsitters,G41
Flt_apt_9_or_m_s_b_NofB_1,Flat_or_apartment_In_a_nine_or_more_storey_block_Number_of_bedrooms_One_bedroom,G41
Flt_apt_9_or_m_s_b_NofB_2,Flat_or_apartment_In_a_nine_or_more_storey_block_Number_of_bedrooms_Two_bedrooms,G41
Flt_apt_9_or_m_s_b_NofB_3,Flat_or_apartment_In_a_nine_or_more_storey_block_Number_of_bedrooms_Three_bedrooms,G41
Flt_apt_9_or_m_s_b_NofB_4,Flat_or_apartment_In_a_nine_or_more_storey_block_Number_of_bedrooms_Four_bedrooms,G41
Flt_apt_9_or_m_s_b_NofB_5,Flat_or_apartment_In_a_nine_or_more_storey_block_Number_of_bedrooms_Five_bedrooms,G41
Flt_apt_9_or_m_s_b_NofB_6_m,Flat_or_apartment_In_a_nine_or_more_storey_block_Number_of_bedrooms_Six_bedrooms_or_more,G41
Flt_apt_9_or_m_s_b_NofB_NS,Flat_or_apartment_In_a_nine_or_more_storey_block_Number_of_bedrooms_Not_stated,G41
Flt_apt_9_or_m_s_b_Total,Flat_or_apartment_In_a_nine_or_more_storey_block_Total,G41
Flt_apt_At_to_a_h_NofB_0_ib,Flat_or_apartment_Attached_to_a_house_Number_of_bedrooms_None_includes_studio_apartments_or_bedsitters,G41
Flt_apt_At_to_a_hse_NofB_1,Flat_or_apartment_Attached_to_a_house_Number_of_bedrooms_One_bedroom,G41
Flt_apt_At_to_a_hse_NofB_2,Flat_or_apartment_Attached_to_a_house_Number_of_bedrooms_Two_bedrooms,G41
Flt_apt_At_to_a_hse_NofB_3,Flat_or_apartment_Attached_to_a_house_Number_of_bedrooms_Three_bedrooms,G41
Flt_apt_At_to_a_hse_NofB_4,Flat_or_apartment_Attached_to_a_house_Number_of_bedrooms_Four_bedrooms,G41
Flt_apt_At_to_a_hse_NofB_5,Flat_or_apartment_Attached_to_a_house_Number_of_bedrooms_Five_bedrooms,G41
Flt_apt_At_to_a_hs_NofB_6_m,Flat_or_apartment_Attached_to_a_house_Number_of_bedrooms_Six_bedrooms_or_more,G41
Flt_apt_At_to_a_hs_NofB_NS,Flat_or_apartment_Attached_to_a_house_Number_of_bedrooms_Not_stated,G41
Flt_apt_At_to_a_hse_Total,Flat_or_apartment_Attached_to_a_house_Total,G41
Flt_apart_Tot_NofB_0_i_b,Flat_or_apartment_Total_Number_of_bedrooms_None_includes_studio_apartments_or_bedsitters,G41
Flt_apart_Tot_NofB_1,Flat_or_apartment_Total_Number_of_bedrooms_One_bedroom,G41
Flt_apart_Tot_NofB_2,Flat_or_apartment_Total_Number_of_bedrooms_Two_bedrooms,G41
Flt_apart_Tot_NofB_3,Flat_or_apartment_Total_Number_of_bedrooms_Three_bedrooms,G41
Flt_apart_Tot_NofB_4,Flat_or_apartment_Total_Number_of_bedrooms_Four_bedrooms,G41
Flt_apart_Tot_NofB_5,Flat_or_apartment_Total_Number_of_bedrooms_Five_bedrooms,G41
Flt_apart_Tot_NofB_6_or_m,Flat_or_apartment_Total_Number_of_bedrooms_Six_bedrooms_or_more,G41
Flt_apart_Tot_NofB_NS,Flat_or_apartment_Total_Number_of_bedrooms_Not_stated,G41
Flt_apart_Tot_Total,Flat_or_apartment_Total_Total,G41
Other_dwelling_NofB_0_i_b,Other_dwelling_Number_of_bedrooms_None_includes_studio_apartments_or_bedsitters,G41
Other_dwelling_NofB_1,Other_dwelling_Number_of_bedrooms_One_bedroom,G41
Other_dwelling_NofB_2,Other_dwelling_Number_of_bedrooms_Two_bedrooms,G41
Other_dwelling_NofB_3,Other_dwelling_Number_of_bedrooms_Three_bedrooms,G41
Other_dwelling_NofB_4,Other_dwelling_Number_of_bedrooms_Four_bedrooms,G41
Other_dwelling_NofB_5,Other_dwelling_Number_of_bedrooms_Five_bedrooms,G41
Other_dwelling_NofB_6_or_m,Other_dwelling_Number_of_bedrooms_Six_bedrooms_or_more,G41
Other_dwelling_NofB_NS,Other_dwelling_Number_of_bedrooms_Not_stated,G41
Other_dwelling_Total,Other_dwelling_Total,G41
Dweling_structu_NS_NofB_0_i_b,Dwelling_structure_not_stated_Number_of_bedrooms_None_includes_studio_apartments_or_bedsitters,G41
Dweling_structur_NS_NofB_1,Dwelling_structure_not_stated_Number_of_bedrooms_One_bedroom,G41
Dweling_structur_NS_NofB_2,Dwelling_structure_not_stated_Number_of_bedrooms_Two_bedrooms,G41
Dweling_structur_NS_NofB_3,Dwelling_structure_not_stated_Number_of_bedrooms_Three_bedrooms,G41
Dweling_structur_NS_NofB_4,Dwelling_structure_not_stated_Number_of_bedrooms_Four_bedrooms,G41
Dweling_structur_NS_NofB_5,Dwelling_structure_not_stated_Number_of_bedrooms_Five_bedrooms,G41
Dwelig_struct_NS_NofB_6_or_m,Dwelling_structure_not_stated_Number_of_bedrooms_Six_bedrooms_or_more,G41
Dweling_structur_NS_NofB_NS,Dwelling_structure_not_stated_Number_of_bedrooms_Not_stated,G41
Dweling_structur_NS_Total,Dwelling_structure_not_stated_Total,G41
Total_NofB_0_i_b,Total_Number_of_bedrooms_None_includes_studio_apartments_or_bedsitters,G41
Total_NofB_1,Total_Number_of_bedrooms_One_bedroom,G41
Total_NofB_2,Total_Number_of_bedrooms_Two_bedrooms,G41
Total_NofB_3,Total_Number_of_bedrooms_Three_bedrooms,G41
Total_NofB_4,Total_Number_of_bedrooms_Four_bedrooms,G41
Total_NofB_5,Total_Number_of_bedrooms_Five_bedrooms,G41
Total_NofB_6_or_m,Total_Number_of_bedrooms_Six_bedrooms_or_more,G41
Total_NofB_NS,Total_Number_of_bedrooms_Not_stated,G41
Total_Total,Total_Total,G41
